,polarity,tweet
791813,0,love law and orderrrr wants the sound effect as her ringtone but cant find it 
1181677,4,@RobPattzNews  THANK YOU for the link! 
352634,0,"@amieewhitney i love the whole entrance bit!, oh sum actor..who i only knew by face not name! old timer, my dad will be sad! "
1558402,4,"@sajego Ah, sounds like an evening of serenity.  "
369142,0,so sad tomorrows the last day. 
1354687,4,@CalNewman my bad I see another Gemini friend had a birthday the other day happy belated birthday LOL 
99954,0,Trying to write an article on a topic you dont understand is trickyy 
304075,0,Awake already...  Not good.   
15797,0,"@joeymcintyre HAVE FUN, WANT TO HEAR IT TOO  ENJOY YOUR SHOW TONIGHT LOVE FROM BRUSSELS"
278107,0,@creativetears Somone is using that name thats y it wont change 
1354837,4,"@nicolesafley TY for the invite. you left out the 'r' in central, but I found it ok.  look frward 2 'meeting' you there. Have a great day!"
1319494,4,@KiranDenniz I don't see any mention of flogging? 
1501388,4,watching my boy jj 
1540614,4,Sitting in Starbucks cafe in Bristol.. Cesar salads with chicken is served with fish here.. kind of surprized 
1289935,4,"In my dreams, you're mine forever.... "
874731,4,@silvershoe21 @bakerella Yep.  You got to talk to 2-octaves-lower-Nikki 
1527634,4,is counting down to that lovely time.  
448407,0,"Whoa, didn't realize it was going to make me tweet those bites. Sorry "
607943,0,OMG..... there is no sugar!!!!!!! im gonna die with no cup of tea 
947009,4,what a good weekend so far   thunderstorms tonight! :-D
1169143,4,First round of caddying this season 
237038,0,It's so gay...I have to revise...but I want to be outside...not revising... 
1002226,4,"Mmm having tweeted for a while.  All s good just busy, busy. Home from work to study "
1574570,4,eating nandos yummmmy 
224089,0,@youngQ I still can't pull up twitter  blockheads seem to break or crash everything we touch HAHA!
793233,0,Studying for 4 hours until 330 in the morning and im up already 
351232,0,"installing adobe reader - a website checks to see if it's installed, even though I can use FoxIt to read the pdf files themselves, bleh "
27592,0,In a train station with @hexachordal we have left hatalan 
619709,0,@officialpeta  You guys do such great work... shame you made fools out of yourselves with the fly thing... 
523424,0,@boochacha Iya...memang panas... 
591047,0,"&gt; @austinheap: Pls ppl, no more DDoS rt  #Iran #iranelection"
763278,0,@ tysonritteraar: Poor Tyson  Get well soon..And btw... Only you can run and sing very well simultaneous. You're inimitable.
413467,0,"@clicktokill oh ya the heat, it was suffocating. I was huffing &amp; puffing by the end of the run...not good at all "
873817,4,ahaha  wassuh?! twitiess?!
1120607,4,STAVROS FLATLEY to WIN! (Or diversity) over &amp; out 
1166136,4,"@Geladida LOL! No, only 8-| people can follow instructions. I'm not 8-|, but I know you are. "
1200211,4,http://twitpic.com/6de1m - Hmmm... Do I want this person following me? 
150438,0,@jennaphillips MP is leaving 
1328272,4,"@BearTwinsMom Good morning, hun! I can't even get her to brush her ow teeth - clothes probably out  Was good 4 a laugh though!!"
199256,0,Too lazy to get up from bed today  ugh.
650568,0,ayaw magload seesmic ko  BOOOO.
970538,4,I'm off to relax and enjoy the gardens I got done yesterday. 
1452654,4,Paranoid on the box now 
559127,0,"My bed is so war, so comfortable, &amp; I'm SO tired. I really want to curl back up &amp; sleep some more. But I caaaaaaaaaan't. Too much to do "
783227,0,I have no blood left 
1226050,4,@WendyRosenfield no problem. thanks for the tweets. 
897523,4,"@Miscellt It says &quot;1 vote per valid email address per day&quot; - I could vote about 15 times according to that, but once a day is good. "
1156107,4,Bed time 
1475278,4,@barrymonteiro Get 100 followers a day using www.tweeteradder.com Once you add everyone you are on the train or pay vip 
865228,4,@ElizabethBanks On your blog u mentioned that a famous person said that they were getting divorced. Im curious Who was it? care to share? 
223778,0,"@kirstiealley glad to here you reached your goal. Money is really tight, wondering what activities to cut for summer with kids "
10653,0,g2g - 1am in the morning - BE WARNED - mikeyy is back - be careful - one of the ppl I am following is infected 
659004,0,PLEASE HELP!!!!!!!!!!!!!! this made me cry today!      http://tiny.cc/RjGDr
101758,0,@colettebennett What that's crazy!? I paid the full 42 for mine.  But it is AWESOME.
791309,0,Does anyone want to buy me Taylor Swift tickets? I just want to take my sister. And I didn't win them on the radio. 
999900,4,@BHBADDEST lol...all i seen was my baby peanut 
1323248,4,@wellyal we should do the good old @rove1974 thing and flash our lights to see if we can see each others house 
881472,4,@Charonqc and put a spanner in the works for the military -level keep-fit regime! Have a great Sunday 
572138,0,http://twitpic.com/7mlzk - Please help find my friend's puppy!  (via @AmandaWilcher)
928331,4,"@nassyusof you too? haha,so,u managed to finish all your workloads durin weekend? i ended up partying and today kelam kabut in the office "
493166,0,@nbcsnl why don't any of NBC's videos work in Canada 
1260791,4,@IMLILGETOVERIT no reason 2 lie...turned a new leaf almost a yr now 
908061,4,5 things this Twitterer could do without  http://MikeFrizzi.com/blog/?p=192 SRC @MikeFrizzi / I like this guy. 
41385,0,track meet...mile...fail 
112120,0,working on sunday 
821448,4,Just finished filming and now off to another audition. 
435447,0,@Darren_Moore_ I had a network most of the time last night it just wouldn't work when I was ringing and texting sometimes didnt 
462549,0,i'm here! but i'm late 
1360621,4,@ervik odd try hitting iphone.citrixcloud.net let me know if that addy works. 
594788,0,a new day starts and i'm already running late 
1119937,4,Just rode my bike..Fresh air is good.  *I &lt;3 Cupcake*
346326,0,"@theDollHouse @incredibowl seriously? Like, are flip flops and shorts appropriate? -- I'm pretty sure it's shirt-and-tie   freakin lawyers"
1400636,4,"@CokoClemons - after a bootcamp, I am sure you deserve to chill those muscles    - www.ThePulseofEntertainment.com"
1554025,4,"@JLSOfficial mmm toffee flavourr ftww ;)  haha, il join youuuuuuuuuu "
931105,4,@megatanner Oh i see the dilemma. It's still early. Drink your absinthe then try.  
1065874,4,@ninnoart aw thanks 
562407,0,Stuck at work ALL day 
185868,0,I miss my sister 
230456,0,We won 2-1 (2 goals from yours truly) but I pulled my calf muscle badly - ouch that's an old man's injury 
1596236,4,watching http://bit.ly/L6OHo  on youtube! 
775261,0,I miss my earring stuff  I hate dirty nasty thieves! Don't they know that I'm poor?! FTW!
43264,0,@hislilnitemare  I'm so exhaustedd I'm goin to bed &lt;3
82133,0,"@hilly_wa I meant that I am closer to you then Jake, but we have a level of mental intimacy that cannot be compared. That also sounds bad "
380742,0,"My computer says I need a new battery, which is like, $200.  "
1567986,4,@midwifeamy thank you! having 1 of my july clients go early might have actually secured me some sleep &amp; balance!!  
134151,0,Helping people as I always do  get my results tomorrow afteroon  too scary for me
483878,0,"#return2india Digital Transition, No locals  http://tinyurl.com/mcwbmf"
543079,0,just got back from driving all the way to the mall to realize that the mall is closed on tuesdays 
1450317,4,our love can only be measured in our joys and sighs and tears. can anyone agree to this? 
1376571,4,"Drinking my 3rd malibu bay breeze w\ @iizsam, @JanayMiciah, and @Jordamus_Prime "
909118,4,"@katintherat Send that along, lady.  "
345747,0,still learning math. 
569578,0,Doing my best to drive @xabatcha mad! Sorry buddy 
186915,0,I can't believe how ur close friends can just be the biggest jerks to you when what ever happens isn't even your fault 
743369,0,"Kept hearing how low the lake had gotten, didn't believe how low till just now when I saw it.  come on rain!!!! http://bit.ly/138Q21"
1037123,4,i need rancho &lt;3 PAAYCE muthers. 
803574,4,"@Bondwalker I know, I'm SO excited about it!! AND Red Dwarf this weekend too!! "
268018,0,"btw - we didn't drown and the leak is under control! No tornado and the hail didn't damage my truck &lt;3 Tornado season, not my favorite "
1329367,4,Bleeding Love - Leona Lewis. Old but still good! 
401090,0,my eye is swollen shut so I had to postpone a bride and groom consultation. It hasn't been a very good morning! 
1118673,4,ew. i hope when im almost the age of 28 im not a LOSER. keep on talkin' bitch ass 
99307,0,"@koogar I've been inspired by the sound of silence all morning, but the chap doing my garden has just started using his heavy tools "
1131819,4,watching &quot;Itty bitty titty commitee&quot; YES it is a gay movie about lesbianas 
1136273,4,Watching &quot;Man-eater&quot; on Lifetime... LOVING the fantastic weather... relaxing before another day at work tomorrow. 
1471126,4,@janejardine i shall.  loveeeee. x x x
1203139,4,Zefron with his hands in the air 
553481,0,"@boobookittifukk I rarely get into new bands, though. Very few interest me enough from the beginning. MySpace players hate my computer "
775635,0,@SarahAnneFelty  thanks four. i'll update you tomorrow. i'm exhausted.
1576355,4,I think I should be on @mtv's The City. I'm Just saying... right @oliviapalermo and @whitneyeve ? 
1100095,4,"@fryfan20 don't be so down, whatever you have to do it will be done today and then you can smile "
1081420,4,@AudraPach I was looking through my senior year pics and I found the ones from the pistons game.Soo great 
1584317,4,"@pketron Thanks, I'll look into Santa Fe Photographic Workshops.  "
799304,0,@spartan_love at peace. Im even more depressed now 
258284,0,The MTV awards are the only time I think about watching MTV 
935632,4,i need to do it... 
359294,0,my macbook has been running slow lately  wonder if it has a virus...? i thought macs didn't get viruses! maybe it has the swine flu???
773896,0,"@bestkeptsecret1 Thank u! I think that pic was taken the week DJ Hut closed  We have 2 get up soon, Im goin 2 GeorgiaStateU in the Fall "
1034661,4,on youtube trying to find some good videos to see 
960882,4,@tweetles Good morning I have not seen you around alot lately  How are you
595183,0,@nikkinews we went 2 yogurt land....thought u were going with... Leo &amp; maryanne &amp; raymond weren't there either 
1439170,4,@lilazngangsta yea kirby is cool. I always pick lucas though.  chris 
1030747,4,"@punkful dati i get to talk to handlers pa when i was doing office/events. pero mas importante, prioritize your studies. the best yun! "
802519,4,shopping shopping shopping!  I'm in desperate need of some shorts n stuff for Spain! B-)
678709,0,"@RowaynW Well Q let me know you weren't coming in, hope you feel better. "
1140525,4,The chicken parmigiana is being raved about... and I've squirreled away some for lunch on Monday.  
811,0,@moony394 yeah  is it bcoz kal penn is a visiting lecturer somewhere n cant be on the show anymore? im gonna miss him 
596607,0,Rocket Riot &amp; Magic works. But the Download of Sam &amp; Max still doesn't work 
522313,0,@BrianNeudorff  awe!!!  I hope they don't hurt him....
286775,0,Vilmarie/Marilyn Help my computer is acting wierd.It wont let me accept. 
1504878,4,@arttherapy2heal @apndrgn @palmie @burstingenergy @ricksgrl Heya.  soooo tired lol
221072,0,@audreykeyes yikes!  the fiance called &amp;said sirens were going off... but he wasn't leaving the 3rd floor apt bc he was watchin the cavs!
1355894,4,watching NCIS &amp; not thinking about much at all  What a Friday is supposed to be about!
1024536,4,Its Friday!!!  school.then campin out with my bestie!!
589772,0,Twitter is making me feel like I have no friends  ... I'm going to go creep on Facebook instead.
313299,0,@andreatunes That makes two of us 
564832,0,very tired 
188974,0,@mamapigeon We haven't been able to twitter because our huma-eh-eh-eh-n has been too busy 
260165,0,i dont wanna do homework 
1290471,4,@AdamHoban lol. Military planes seen it!! 
958753,4,browsing David Archuleta's music vids 
999174,4,@sergeantkero you're welcome  what are you doin ?
1280720,4,"@vampirefreak101 Yeah, I really hope so too... off to work for me... tweet you later, hun... BIG hugs!  x x x"
1575043,4,Ughh. Confusing much? I kinda feel bad still. I won't let this rain on my parade! 
1029067,4,@lindsaylaurie lol thanks lindsay lol so how's it going? 
212960,0,Mimis cafe lunch with sister and momma. Now shopping!! Then work 
1475745,4,@systemragebodom hello  i'm good wbu? btw ur new name is nice how was weekend?
648513,0,EPW --&gt; a very long way to reach level 100+ 
1395939,4,@morningshowz103 Dave's funny! I love your morning show 
1508548,4,Yay now all my shit is organized. Deleted albums and saved those old pics on my computer! 
1057689,4,@ToddBrink Dude. You rock!    Thanks 4 the mention  xo
1528171,4,"up dressed, dh even threw me in to the shower this morning  now going to make my coffee that smells like a cinnamon roll."
1522056,4,@bfgmartin Thank you so much for the help!! 
794883,0,"I love The Nanny, but I'm so tired by midnight that when I lie down to watch it I fall asleep. "
1069665,4,Woooow... Sitting next to the ambassador of Pakistan 
828924,4,@KuriousTrina awww thanks for calling me sexxxy......and I thought you forgot about me... 
537084,0,"My laptop keeps switching off due to overheating. I think im gonna have to send it back, but that means no net or podcasts! "
551036,0,@madisonkerr I love that song. 
708969,0,Well it's on our block but no one on our street was doing it and i only got up at 8:15 in the morning. very frustrating 
30568,0,@chrysalisceo terrible transition from ska... but pretty woman is a good chune 
547787,0,XBox Live still down 
707766,0,@ryannarciso i would help you but im already following you 
1170135,4,at the beach 
108149,0,@jamieharrington Aww. The second one as was my actual music. 
395605,0,@ansharp more cabochons.  but she doesn't have any   no idea when that will be!  sorry about that.  but I didn't forget!  ;)
323710,0,i cannt sign in my yahoo profile.poor me 
813337,4,@xAlysonMichalka U r one classy girl Alyson and so friendly too.. Love ur stuff as always. Keep twittering 
702146,0,"@Scorpion_Blood i dont give it also, but i was curious about that, and i had to give to see whats the rush was all about.. can u help me? "
1571569,4,@Marabellers great show! I'm waaaay 2 emo 4 such a program @ this time tho  heehee watch on my friend ;)
829898,4,"Hi guys, sorry for the non-twitter the last few days, was sick with the flew. Promise to start again by Monday. Cheers "
898604,4,@Shamini_r I find mystery so much more interesting than obvious...waaay more to explore  Go bodypump and Cardio...
754626,0,"The luck of the Irish was not with me today, despite the origin of my name and the fact that I wore my Irish green t-shirt. "
255855,0,Pretty sure I blew my engine 2day on I-95. Shoulda listend 2 wifey when she told me 2 change my timing belt Some of us learn the hard way 
1197717,4,"(66) it isn't just Nadal, Verdasco is out also! A day to forget for the Spanish &quot;armada&quot;. Oh well, Wilbledom is coming soon. "
211787,0,@brampitoyo Coworking would be awesome. But I work a side job on the weekends 
1314780,4,@tweeks4 you can Tita I know you can  I need to lose weight so I look great in my dress!
770174,0,I got my brothers phone  No more twitterberry 
1561959,4,@jordankathleen http://twitpic.com/7iip9 - Congratulations!!!! I voted for you!!! 
507537,0,@debsylou I dont have any cake  I was only thinking about eating some.
1541170,4,dude!! Kings is the best show ever! 
637258,0,Wish I could sleep. Got speed tix 2day  Hope 2 hear about &quot;new opportunity&quot; b4 the w/e. Happy Inat'l sushi day. Brett celebrated it w/me.
231355,0,@Zone4Beans You act like you not my friend anymore.  I don't like it.
920801,4,just ate dinner and am STUFFEDDDDD. mostly satisfied (nerd alert!) bout the dessert. yum-o. 
1078289,4,"@MichelleZen Oh, girl of my heart. I was in a meeting earlier today actually discussing Settlerss of Catan. "
1392482,4,@fartingpen similar? I don't think so.  
167339,0,Damn. Stephane doesn't even feel sorry for me. Off to work then 
531068,0,"@DebbieFletcher you can show this picture to the tom? http://twitpic.com/7azqs please, i want much that he read what i wrote  XX"
695184,0, tire replacement in very near future - nail is lodged in sidewall - today is very expensive car day - also getting inspected &amp; oil change
1491830,4,@jleuze Am mad about her work. Thanks for tip (found on your site). She's astonishing. I think that's why you won ticket; to connect us. 
942597,4,@explosivityy http://hunsonisgroovy.com/ look at the right sidebar. 
859250,4,"@jordanknight - I'm keeping the faith, J! FULL Service Tour Asia! Hopefully I'll see you here in Manila -  FOR ME that's what TINK means! "
306361,0,yeah. worked out for 30 minutes. close to dead. 
543919,0,laying on my bed feeling super sick  and my head is killing me :s goodnight!! lov u all
63971,0,still superr sick. don't know if I'm going to school tomm or not. 
434059,0,The vehicular drama continues: now the truck D borrowed is broken. So he has my car and I'm stuck at home on my last day of &quot;Summer&quot;. 
733212,0,@mssensible ha! As if! Was up early with youngest... as always!! 
981525,4,@SukieBunny *looks at  @tdm911 and makes tsk noises*  my bloke just gave me a cold - they're disease carriers 
1577797,4,who is rocking her final projects and finding at least 4-5 hours sleep? This grrrrl!!! In due time my art will be betta and come faster 
1177060,4,http://twitpic.com/6c6nc - This doggie looks like my Bailey. 
1269592,4,watching Conan. Thank god you're back. 
815657,4,@perrymisley Don't forget that iSale offers free iamge hosting through Picasa Web albums as well! 
292832,0,@Dannymcfly  bruce is today in the netherlands and you missed him 
126073,0,"any one else having problems loading gmail? basic html version works fine, but the super fancy ajaxy gmail wont load "
283628,0,ugh so miserablee 
390620,0,Gutted That ii Can't Go See The Script  Exams Getting In The Way :\
1121552,4,"@trisected just gotta keep going, good luck dude!! &amp; try not to burn out talk t you tmr "
1594877,4,I need to go now! goodnight. 
367210,0,@kboudit oh she will. She said she has to be prepared for her concerts. Well good luck to you! I hope you don't crack like the rest of us 
1082317,4,@JakeGarvey  I liked that movie. The kid who plays Charlie is Chekov in the new Star Trek too 
800515,4,@everyone if im following u. . .its mandatory u follow me 
311389,0,Gutted phone still does not work  gonna have to be a trip to the t mobile shop me thinks!
131034,0,"@Kenwood, for my sins  http://tinyurl.com/6n6apk"
1105437,4,#myweakness Jesse McCartney's voice! 
507970,0, sad about stupid stuff
640373,0,Maggie just drove most of the way home before she remembered she doesn't live there anymore.  .
712587,0,"@BlueMegan and by not do so well, I mean probably fail. First exam I ever nearly fell asleep in! So embarressing! So....not helpful "
559776,0,@thechannelc I've been waiting the whole day 
1381479,4,"scotch rocks and talks with exbf from sf tnite while i was waiting to get back into my apt, glad we're still homies, j "
1337501,4,"song of the day - &quot;turn your lights down low&quot; by bob marley &amp; lauryn hill  &quot;turn your lights down low&quot;.never never try to resist, oh no..&quot;"
474902,0,study time...  can't stop listening to marie digby's song feel.. It's addictive
457148,0,@coasterdude2002 beats toothpaste... TRUST ME... and I won't explain how you get toothpaste in the eye... twice 
1162220,4,"@kimmylockwood LOL! Thanks, I appreciate that. "
1013548,4,I want a shout-out from J-Bigga 
1341806,4,@favored619 I'll call you 
85296,0,@thefreeboxer �a veut pas 
370614,0,@yasexy oh lol i wud make some but my damn camera broke 
1368150,4,@stambo_nz Cheers for that 
1580777,4,@SJayyS Here is a goodnight tink sweet dreams 
472945,0,So much for my Orlando winning the playoffs  kobe is shit hot tho and all credit is due!
335319,0,"@imeantheend IKR, it's BOILING in my room  I'd expect the temperature to drop significantly at night...?"
560877,0,eurghh off to the dentist soon 
